ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
2007-03-15,73,1049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
2007-03-29,90,3706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
2007-03-29,80,679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
2007-03-29,85,860,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.99
2007-03-29,82,921,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.99
2007-03-29,76,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.99
2007-03-29,69,157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2007-02-27,81,721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.99
2007-03-14,74,212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.99
2007-03-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.99
2007-11-05,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99
2010-04-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.99
2009-04-30,54,1846,0,0,0,1,1,0,0,1,0,0,0,0,0,0,9.99
2011-02-03,76,3331,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.99
2011-06-14,0,221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2007-05-04,77,1097,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2007-05-04,80,273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2007-05-04,89,296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2007-05-04,0,272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2008-09-04,0,296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2007-08-21,96,16260,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19.99
2008-09-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2008-09-04,0,1289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2008-09-04,65,201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2009-05-06,80,1203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2009-05-06,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.99
2009-05-20,63,506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2007-11-12,92,5983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2008-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.99
2007-06-05,83,1111,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.99
2007-12-13,67,1136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
2008-02-08,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.99
2008-11-21,80,1079,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.99
2009-05-13,74,897,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8.99
2010-03-23,84,27899,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14.99
2007-06-15,0,176,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
2007-06-15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
2007-06-15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
2007-06-15,0,253,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
2007-06-15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
2007-06-15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
2008-05-16,82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
2008-05-16,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
2008-05-16,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
2008-05-16,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
2008-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
2008-06-17,68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.99
2008-06-17,76,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.99
2008-06-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.99
2008-12-18,82,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.99
2007-06-18,76,507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.99
2010-12-15,88,4269,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19.99
2007-10-15,83,1637,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.99
2009-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.99
2012-12-12,0,132,0,0,0,0,0,0,0,0,1,0,0,1,1,0,7.99
2007-07-24,86,780,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2010-02-09,88,7624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2009-05-29,90,242,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.99
2009-05-29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.99
2010-10-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99
2009-10-26,81,15545,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19.99
2007-08-03,0,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99
2007-08-03,88,1533,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2007-08-03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99
2007-08-03,0,118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99
2007-08-03,87,1645,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2007-08-03,0,137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2007-08-03,0,181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99
2007-08-03,0,510,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2011-10-03,79,8176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2007-08-07,0,377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.99
2007-09-24,87,457,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19.99
2011-09-28,86,782,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99
2011-09-28,81,2834,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99
2008-03-05,0,2696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.99
2008-02-29,73,438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2009-01-07,72,6867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2007-07-20,80,219,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99
2008-03-12,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2008-03-12,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.99
2008-03-12,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99
2008-03-12,69,450,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.99
2009-05-06,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14.99
